Ex_keV,orbital,n,L,j_times_2,nodes,Q_MeV,E_bind_MeV,E_proton_MeV
0,0f7/2,0,3,7,0,2.079,-4.304,9.438
645,1p3/2,1,1,3,1,1.434,-3.659,8.793
1398,0d3/2,0,2,3,0,0.681,-2.906,8.040
1991,1p3/2,1,1,3,1,0.088,-2.313,7.447
2023,0f7/2,0,3,7,0,0.056,-2.281,7.415
2514,0f5/2,0,3,5,0,-0.435,-1.790,6.924
2637,1p1/2,1,1,1,1,-0.558,-1.667,6.801
2776,0f7/2,0,3,7,0,-0.697,-1.528,6.662
3120,0g9/2,0,4,9,0,-1.041,-1.184,6.318
3180,0d3/2,0,2,3,0,-1.101,-1.124,6.258
3262,1p3/2,1,1,3,1,-1.183,-1.042,6.176
3355,0d3/2,0,2,3,0,-1.276,-0.949,6.083
3442,0f7/2,0,3,7,0,-1.363,-0.862,5.996
3493,1p3/2,1,1,3,1,-1.414,-0.811,5.945
3605,0f7/2,0,3,7,0,-1.526,-0.699,5.833
3666,0d3/2,0,2,3,0,-1.587,-0.638,5.772
4005,1p1/2,1,1,1,1,-1.926,-0.299,5.433
4072,1p3/2,1,1,3,1,-1.921,-0.232,5.438
4147,1p1/2,1,1,1,1,-1.921,-0.157,5.438
4226,0f5/2,0,3,5,0,-1.921,-0.078,5.438
4368,0f5/2,0,3,5,0,-1.921,0.064,5.438
4411,0f5/2,0,3,5,0,-1.921,0.107,5.438
4492,1p3/2,1,1,3,1,-1.921,0.188,5.438
4458,1p3/2,1,1,3,1,-1.921,0.154,5.438
4675,0f5/2,0,3,5,0,-1.921,0.371,5.438
4812,1p3/2,1,1,3,1,-1.921,0.508,5.438
4858,0f5/2,0,3,5,0,-1.921,0.554,5.438
4882,0f5/2,0,3,5,0,-1.921,0.578,5.438
4893,1p3/2,1,1,3,1,-1.921,0.589,5.438
5054,0g9/2,0,4,9,0,-1.921,0.750,5.438
5090,0g9/2,0,4,9,0,-1.921,0.786,5.438
5122,0g9/2,0,4,9,0,-1.921,0.818,5.438
5505,0f5/2,0,3,5,0,-1.921,1.201,5.438
5666,0f5/2,0,3,5,0,-1.921,1.362,5.438
5720,0f5/2,0,3,5,0,-1.921,1.416,5.438
6150,0f5/2,0,3,5,0,-1.921,1.846,5.438
6408,0f5/2,0,3,5,0,-1.921,2.104,5.438
6550,0f5/2,0,3,5,0,-1.921,2.246,5.438
6732,0f5/2,0,3,5,0,-1.921,2.428,5.438
6775,0f5/2,0,3,5,0,-1.921,2.471,5.438
